ClienteCPF;ClienteNome;ClienteSobrenome;ClienteSexo;ClienteNascimento;ClienteEstadoCivil;ClienteRua;ClienteNumero;ClienteBairro;ClienteCEP;ClienteCidade;ClienteEstado;ClientePais;ClienteRendaAnual;ClienteTelefone;ClienteEmail
532.092.589-95;Jacquelyn;Suarez;F;1981-12-23 00:00:00.000;S;COMENDADOR ARAUJO;44;BOM RETIRO;89223330;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0169;jacquelyn20@adventure-works.com
948.337.042-41;Curtis;Lu;M;1981-05-26 00:00:00.000;S;BEIRA MAR;445;BOM RETIRO;89210300;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0117;curtis9@adventure-works.com
727.626.785-41;Lauren;Walker;F;1984-09-27 00:00:00.000;S;PLACIDO GOMES;590;ATIRADORES;89223100;JOINVILLE;SC;BRASIL;100000;717-555-0164;lauren41@adventure-works.com
008.690.418-12;Ian;Jenkins;M;1980-02-06 00:00:00.000;C;MARECHAL DEODORO;858;BOM RETIRO;89223-005;JOINVILLE;SC;BRASIL;100000;817-555-0185;ian47@adventure-works.com
084.066.822-01;Sydney;Bennett;F;1981-02-07 00:00:00.000;S;ARACUA;342;COSTA E SILVA;89222365;JOINVILLE;SC;BRASIL;100000;431-555-0156;sydney23@adventure-works.com
427.419.506-33;Chloe;Young;F;1989-01-31 00:00:00.000;S;TIJUCAS;243;CENTRO;89217-220;JOINVILLE;SC;BRASIL;30000;208-555-0142;chloe23@adventure-works.com
841.775.043-01;Wyatt;Hill;M;1980-12-01 00:00:00.000;C;CORUPA;664;ANITA GARIBALDI;89222-450;JOINVILLE;SC;BRASIL;30000;135-555-0171;wyatt32@adventure-works.com
905.756.851-95;Shannon;Wang;F;1983-05-15 00:00:00.000;S;JATOBA;42;GUANABARA;89216300;JOINVILLE;SC;BRASIL;20000;1 (11) 500 555-0195;shannon1@adventure-works.com
130.379.418-75;Clarence;Rai;M;1984-11-06 00:00:00.000;S;JOAO MAUL;168;BOM RETIRO;89223063;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0137;clarence32@adventure-works.com
598.169.522-34;Luke;Lal;M;1985-05-04 00:00:00.000;C;XV DE NOVEMBRO;656;CENTRO;89211000;JOINVILLE;SC;BRASIL;40000;262-555-0112;luke18@adventure-works.com
963.305.770-14;Jordan;King;M;1984-01-28 00:00:00.000;C;MAJOR NAVARRO LINS;663;ANITA GARIBALDI;89227067;JOINVILLE;SC;Brasil;40000;550-555-0163;jordan73@adventure-works.com
286.018.471-58;Destiny;Wilson;F;1983-08-23 00:00:00.000;C;PLACIDO GOMES;565;CENTRO;89221-596;JOINVILLE;SC;Brasil;40000;622-555-0158;destiny7@adventure-works.com
456.129.200-03;Ethan;Zhang;M;1985-04-03 00:00:00.000;S;PARAIBA;186;ANITA GARIBALDI;89211630;JOINVILLE;SC;BRASIL;40000;589-555-0185;ethan20@adventure-works.com
783.036.451-98;Seth;Edwards;M;1980-04-27 00:00:00.000;S;MINISTRO LUIS GALOTTI;435;BOA VISTA;89211120;JOINVILLE;SC;BRASIL;40000;452-555-0188;seth46@adventure-works.com
590.343.372-36;Russell;Xie;M;1983-09-08 00:00:00.000;C;OTTO GERKEN;73;ATIRADORES;89223270;JOINVILLE;SC;Brasil;60000;746-555-0186;russell7@adventure-works.com
075.031.887-11;Alejandro;Beck;M;1982-06-21 00:00:00.000;S;GENEBALDO VIEIRA;88;FLORESTA;89223-080;JOINVILLE;SC;BRASIL;10000;1 (11) 500 555-0178;alejandro45@adventure-works.com
402.509.064-09;Harold;Sai;M;1980-01-15 00:00:00.000;S;CEL. ASTEROIDE ARANTES;47;ATIRADORES;89201020;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0131;harold3@adventure-works.com
529.431.884-27;Jessie;Zhao;M;1982-02-02 00:00:00.000;S;DUARTE SCHUTTEL;33;COSTA E SILVA;89225300;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0184;jessie16@adventure-works.com
412.225.181-56;Jill;Jimenez;F;1983-02-26 00:00:00.000;S;SAMUEL HEUZY;293;BOM RETIRO;89224250;JOINVILLE;SC;Brasil;30000;1 (11) 500 555-0116;jill13@adventure-works.com
809.241.762-32;Jimmy;Moreno;M;1983-05-25 00:00:00.000;S;MARQUES OLINDA;900;COSTA E SILVA;89201-440;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0146;jimmy9@adventure-works.com
977.222.650-76;Bethany;Yuan;F;1982-08-20 00:00:00.000;S;PIAUI;287;CENTRO;89216-410;JOINVILLE;SC;BRASIL;10000;1 (11) 500 555-0182;bethany10@adventure-works.com
069.931.402-46;Theresa;Ramos;F;1982-06-22 00:00:00.000;S;BARRA VELHA;196;FLORESTA;89211-000;JOINVILLE;SC;NULL;20000;1 (11) 500 555-0195;theresa13@adventure-works.com
820.935.436-35;Denise;Stone;F;1982-07-07 00:00:00.000;C;UBERABA;165;FLORESTA;89216300;JOINVILLE;SC;NULL;20000;1 (11) 500 555-0169;denise10@adventure-works.com
430.564.278-24;Jaime;Nath;M;1981-09-12 00:00:00.000;S;DES. NELSON NUNES GUIMARAES;181;ATIRADORES;89211460;JOINVILLE;SC;BRASIL;20000;1 (11) 500 555-0137;jaime41@adventure-works.com
870.679.795-59;Ebony;Gonzalez;F;1982-01-25 00:00:00.000;S;GUILHERME;505;COSTA E SILVA;89202-160;JOINVILLE;SC;BRASIL;20000;1 (11) 500 555-0136;ebony19@adventure-works.com
986.693.134-83;Wendy;Dominguez;F;1981-02-02 00:00:00.000;S;CONSELHEIRO MAFRA;125;CENTRO;89212-020;JOINVILLE;SC;NULL;10000;1 (11) 500 555-0177;wendy12@adventure-works.com
836.493.844-33;Jennifer;Russell;F;1983-04-13 00:00:00.000;S;TIJUCAS;339;CENTRO;89201602;JOINVILLE;SC;BRASIL;60000;115-555-0183;jennifer93@adventure-works.com
081.808.705-82;Chloe;Garcia;F;1983-12-13 00:00:00.000;S;LAGAMAR;147;BOM RETIRO;89217200;JOINVILLE;SC;BRASIL;40000;229-555-0112;chloe27@adventure-works.com
613.128.535-87;Diana;Hernandez;F;1984-02-02 00:00:00.000;S;PADRE KOLB;967;BUCAREIN;89227301;JOINVILLE;SC;BRASIL;10000;1 (11) 500 555-0114;diana2@adventure-works.com
297.250.500-84;Marc;Martin;M;1983-05-01 00:00:00.000;S;IVO VARELA;79;BOA VISTA;89223100;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0183;marc3@adventure-works.com
353.833.271-55;Jesse;Murphy;M;1981-12-09 00:00:00.000;S;ESTRADA DA ILHA;1330;JARDIM SOFIA;89223230;JOINVILLE;SC;BRASIL;30000;961-555-0176;jesse15@adventure-works.com
892.767.965-85;Amanda;Carter;F;1983-03-13 00:00:00.000;S;OTAVIO ROSA FILHO;325;BOM RETIRO;89211465;JOINVILLE;SC;BRASIL;60000;295-555-0145;amanda53@adventure-works.com
997.907.878-54;Megan;Sanchez;F;1981-01-02 00:00:00.000;C;LUIZ BACHTOLD;121;COSTA E SILVA;8927270;JOINVILLE;SC;BRASIL;70000;404-555-0199;megan28@adventure-works.com
843.100.616-48;Nathan;Simmons;M;1980-03-15 00:00:00.000;S;PEDRO LOBO;239;CENTRO;89225-130;JOINVILLE;SC;BRASIL;60000;296-555-0181;nathan11@adventure-works.com
151.710.621-39;Adam;Flores;M;1981-04-03 00:00:00.000;S;SAO BORJA;329;BOA VISTA;89212420;JOINVILLE;SC;Brasil;20000;1 (11) 500 555-0163;adam10@adventure-works.com
422.809.419-05;Leonard;Nara;M;1981-01-06 00:00:00.000;S;MARCOLINO SERAPIAO DE OLIVEIRA;138;BOA VISTA;89224150;JOINVILLE;SC;NULL;30000;1 (11) 500 555-0151;leonard18@adventure-works.com
134.630.688-79;Christine;Yuan;F;1982-05-04 00:00:00.000;C;R. COLOMBO;388;ITAUM;89224-000;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0113;christine4@adventure-works.com
362.635.021-79;Jaclyn;Lu;F;1981-10-31 00:00:00.000;S;PARANA;370;ANITA GARIBALDI;89204000;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0137;jaclyn12@adventure-works.com
393.172.254-69;Jeremy;Powell;M;1983-03-29 00:00:00.000;S;NORMA RUDNICK;75;PIRABEIRABA;89222490;JOINVILLE;SC;NULL;30000;1 (11) 500 555-0183;jeremy26@adventure-works.com
325.725.895-42;Carol;Rai;F;1981-02-16 00:00:00.000;S;ALEX HOLZ;339;JARDIM SOFIA;89210220;JOINVILLE;SC;BRASIL;40000;654-555-0180;carol8@adventure-works.com
324.593.831-02;Alan;Zheng;M;1984-04-28 00:00:00.000;S;SAMUEL HEUSY;293;BOM RETIRO;89217275;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0135;alan23@adventure-works.com
695.893.258-42;Daniel;Johnson;M;1980-12-31 00:00:00.000;S;WALMOR HARGER;96;COSTA E SILVA;89227110;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0155;daniel18@adventure-works.com
985.112.400-70;Heidi;Lopez;F;1982-01-08 00:00:00.000;S;HENRIQUE MIERS;414;COSTA E SILVA;89210060;JOINVILLE;SC;BRASIL;40000;1 (11) 500 555-0168;heidi19@adventure-works.com
550.362.340-21;Ana;Price;F;1981-06-17 00:00:00.000;S;FREDERICO JOHN;209;BOM RETIRO;89225720;JOINVILLE;SC;NULL;60000;859-555-0113;ana0@adventure-works.com
391.431.103-00;Deanna;Munoz;F;1982-04-13 00:00:00.000;S;PLACIDO OLIMPIO DE OLIVEIRA;889;BUCAREIN;89201602;JOINVILLE;SC;NULL;40000;1 (11) 500 555-0192;deanna33@adventure-works.com
264.035.996-23;Gilbert;Raje;M;1981-05-03 00:00:00.000;S;ALCANTARA;427;BOA VISTA;89223100;JOINVILLE;SC;NULL;40000;1 (11) 500 555-0129;gilbert35@adventure-works.com
396.715.533-96;Michele;Nath;F;1981-05-28 00:00:00.000;S;DAVID THOMAS PEREIRA;801;AVENTUREIRO;89201500;JOINVILLE;SC;NULL;40000;1 (11) 500 555-0178;michele19@adventure-works.com
523.234.128-24;Carl;Andersen;M;1982-12-13 00:00:00.000;S;PAULO SETUBAL;413;COPACABANA;89201260;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0181;carl12@adventure-works.com
898.644.276-82;Marc;Diaz;M;1981-12-17 00:00:00.000;S;PIO XII;104;BOM RETIRO;89208650;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0149;marc6@adventure-works.com
951.340.079-55;Ashlee;Andersen;F;1983-04-02 00:00:00.000;S;AGUSTINHO SANTOS;1150;BOA VISTA;89223-260;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0112;ashlee19@adventure-works.com
039.435.951-08;Jon;Zhou;M;1983-12-24 00:00:00.000;S;CONCORDIA;950;ATIRADORES;89210040;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0174;jon28@adventure-works.com
064.239.038-72;Todd;Gao;M;1983-05-17 00:00:00.000;S;SANTO AGUSTINHO;707;GUANABARA;89201010;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0191;todd14@adventure-works.com
186.724.844-25;Noah;Powell;M;1980-02-29 00:00:00.000;S;ALBANO SCHMIDT;145;BOA VISTA;89222-100;JOINVILLE;SC;brasil;40000;767-555-0113;noah5@adventure-works.com
408.727.250-85;Angela;Murphy;F;1983-01-29 00:00:00.000;S;ZENAIDE SANTOS DE SOUZA;333;JARDIM IRIRIU;89252060;JOINVILLE;SC;BRASIL;40000;451-555-0162;angela41@adventure-works.com
088.323.135-69;Chase;Reed;M;1981-12-26 00:00:00.000;S;TENENTE ANTONIO JOAO;247;BOM RETIRO;89223100;JOINVILLE;SC;NULL;40000;892-555-0184;chase21@adventure-works.com
876.874.443-38;Jessica;Henderson;F;1982-04-22 00:00:00.000;S;EUGENIO FLEISCHER;34;COSTA E SILVA;89213060;JOINVILLE;SC;BRASIL;60000;278-555-0186;jessica29@adventure-works.com
064.367.191-60;Grace;Butler;F;1984-05-04 00:00:00.000;S;RUA PIO XII;248;BOM RETIRO;89216110;JOINVILLE;SC;BRASIL;70000;712-555-0141;grace62@adventure-works.com
611.724.685-37;Caleb;Carter;M;1984-06-03 00:00:00.000;S;CONS. MAFRA;295;CENTRO;89204040;JOINVILLE;SC;BRASIL;60000;944-555-0167;caleb40@adventure-works.com
597.291.511-59;Tiffany;Liang;F;1984-05-29 00:00:00.000;S;AUGUSTO KLUVER;299;FLORESTA;89210150;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0177;tiffany17@adventure-works.com
481.725.036-83;Carolyn;Navarro;F;1980-01-20 00:00:00.000;S;HELENA DEGELMANN;524;COSTA E SILVA;89227-400;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0145;carolyn30@adventure-works.com
032.315.725-52;Willie;Raji;M;1982-11-18 00:00:00.000;S;MAJOR NAVARRO LINS;573;ANITA GARIBALDI;89224-210;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0151;willie40@adventure-works.com
599.473.960-60;Linda;Serrano;F;1982-10-28 00:00:00.000;S;IVO VARELLA;107;BOA VISTA;89222-470;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0130;linda31@adventure-works.com
221.174.658-30;Casey;Luo;F;1980-07-23 00:00:00.000;S;BAGE;353;ATIRADORES;89223-263;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0125;casey6@adventure-works.com
595.867.916-36;Amy;Ye;F;1980-10-24 00:00:00.000;S;JULIANO BUSARELLO;250;ITINGA;89222060;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0185;amy16@adventure-works.com
081.925.180-34;Levi;Arun;M;1980-05-25 00:00:00.000;S;ITA;504;BOM RETIRO;89211350;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0127;levi6@adventure-works.com
191.005.204-25;Felicia;Jimenez;F;1982-06-30 00:00:00.000;S;EUZEBIO DE QUEIROZ;256;ATIRADORES;89213-000;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0165;felicia4@adventure-works.com
506.494.090-45;Blake;Anderson;M;1982-04-16 00:00:00.000;S;PRINCESA ISABEL;264;CENTRO;89201500;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0113;blake9@adventure-works.com
944.060.525-90;Leah;Ye;F;1981-06-05 00:00:00.000;S;PARANA;272;ANITA GARIBALDI;89211300;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0154;leah7@adventure-works.com
823.391.957-07;Gina;Martin;F;1981-07-18 00:00:00.000;S;R. WALFRIDO DE LIMA;152;ITINGA;89211665;JOINVILLE;SC;BRASIL;40000;196-555-0114;gina1@adventure-works.com
916.009.575-10;Donald;Gonzalez;M;1981-01-06 00:00:00.000;S;MINISTRO LUIZ GALLOTI;435;BOA VISTA;89223080;JOINVILLE;SC;BRASIL;160000;1 (11) 500 555-0137;donald20@adventure-works.com
342.178.278-47;Damien;Chander;M;1983-09-01 00:00:00.000;S;ARAQUA;357;COSTA E SILVA;89224020;JOINVILLE;SC;BRASIL;170000;1 (11) 500 555-0111;damien32@adventure-works.com
908.349.049-79;Savannah;Baker;F;1983-03-16 00:00:00.000;S;R. BOTAFOGO;117;FLORESTA;89223056;JOINVILLE;SC;BRASIL;120000;478-555-0117;savannah39@adventure-works.com
500.224.621-46;Angela;Butler;F;1982-08-09 00:00:00.000;C;PERNAMBUCO;218;ANITA GARIBALDI;89212160;JOINVILLE;SC;Brasil;130000;579-555-0195;angela17@adventure-works.com
541.845.644-21;Alyssa;Cox;F;1983-12-19 00:00:00.000;S;R. DES. NELSON NUNES GUIMARAES;593;BOM RETIRO;89216-520;JOINVILLE;SC;NULL;130000;561-555-0140;alyssa37@adventure-works.com
307.284.504-22;Lucas;Phillips;M;1982-04-29 00:00:00.000;S;BORBA GATO;700;BOM RETIRO;89217-210;JOINVILLE;SC;BRASIL;80000;863-555-0172;lucas7@adventure-works.com
047.942.039-36;Emily;Johnson;F;1984-01-21 00:00:00.000;C;ALBANO SCHMIDT;1499;BOA VISTA;89223200;JOINVILLE;SC;BRASIL;60000;850-555-0184;emily1@adventure-works.com
323.806.441-61;Ryan;Brown;M;1982-04-16 00:00:00.000;S;TIJUCAS;339;CENTRO;89221320;JOINVILLE;SC;NULL;70000;539-555-0198;ryan43@adventure-works.com
933.391.171-61;Tamara;Liang;F;1982-03-28 00:00:00.000;S;VALMOR HARGER;96;COSTA E SILVA;89217800;JOINVILLE;SC;NULL;70000;178-555-0152;tamara6@adventure-works.com
406.711.314-32;Hunter;Davis;M;1982-09-19 00:00:00.000;S;C.FRED.STOLL;20;CENTRO;89212-320;JOINVILLE;SC;BRASIL;80000;612-555-0141;hunter64@adventure-works.com
463.360.381-17;Abigail;Price;F;1984-04-14 00:00:00.000;S;ALEXANDRE SCHLEMM;19;BUCAREIN;89223268;JOINVILLE;SC;BRASIL;80000;532-555-0117;abigail25@adventure-works.com
698.003.418-91;Trevor;Bryant;M;1980-08-06 00:00:00.000;S;PROF. HUMBERTO ROHDEN;129;COSTA E SILVA;89225326;JOINVILLE;SC;BRASIL;90000;853-555-0174;trevor18@adventure-works.com
481.350.763-38;Dalton;Perez;M;1981-08-06 00:00:00.000;S;GENERAL CAMARA;120;BOM RETIRO;89201901;JOINVILLE;SC;BRASIL;90000;559-555-0115;dalton37@adventure-works.com
390.545.270-95;Cheryl;Diaz;F;1982-07-05 00:00:00.000;S;R. URUSSANGA;800;BUCAREIN;89227-200;JOINVILLE;SC;BRASIL;90000;1 (11) 500 555-0192;cheryl4@adventure-works.com
008.336.325-15;Aimee;He;F;1981-10-18 00:00:00.000;C;PROF. THEODORO BOEING;199;VILA NOVA;89216-350;JOINVILLE;SC;BRASIL;100000;1 (11) 500 555-0161;aimee13@adventure-works.com
000.784.659-96;Cedric;Ma;M;1984-10-02 00:00:00.000;S;ALEXANDRE DOHLER;310;CENTRO;89222570;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0115;cedric15@adventure-works.com
813.531.527-64;Chad;Kumar;M;1983-11-12 00:00:00.000;S;MINISTRO CALOGERAS;956;CENTRO;89216530;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0151;chad9@adventure-works.com
346.607.766-29;Andrés;Anand;M;1982-11-11 00:00:00.000;S;PLACIDO OLIVEIRA;875;CENTRO;89223050;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0184;andrés18@adventure-works.com
661.347.928-46;Edwin;Nara;M;1983-05-09 00:00:00.000;S;ABRAHAM LINCOLN;74;BOM RETIRO;89224040;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0112;edwin39@adventure-works.com
678.140.920-55;Mallory;Rubio;F;1982-09-11 00:00:00.000;S;P.ANTONIO VIEIRA;129;BOM RETIRO;89210510;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0157;mallory7@adventure-works.com
699.600.046-63;Adam;Ross;M;1982-12-05 00:00:00.000;S;RUA JOSE GERARD ROLIN FILHO;169;BOM RETIRO;89216680;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0186;adam2@adventure-works.com
823.088.705-17;Latasha;Navarro;F;1981-06-08 00:00:00.000;S;RUA SERRA AZUL;1078;JARDIM IRIRIÚ;89211678;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0123;latasha10@adventure-works.com
213.691.995-82;Abby;Sai;F;1980-10-22 00:00:00.000;S;EUGENIO MOREIRA;153;ANITA GARIBALDI;89223100;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0174;abby4@adventure-works.com
749.487.508-21;Julia;Nelson;F;1983-06-07 00:00:00.000;S;OTHON MADER;800;NOVA BRASÍLIA;89210570;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0124;julia7@adventure-works.com
698.153.797-47;Cassie;Chande;F;1981-09-04 00:00:00.000;S;ANDRE ZIPERER;121;CENTRO;89223-130;JOINVILLE;SC;Brasil;70000;1 (11) 500 555-0166;cassie13@adventure-works.com
602.204.345-79;Edgar;Sara;M;1983-07-08 00:00:00.000;S;JAMES FRUHSTUCK;1451;COSTA E SILVA;89210170;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0125;edgar11@adventure-works.com
491.363.094-12;Candace;Fernandez;F;1981-10-14 00:00:00.000;S;AV. PROCOPIO GOMES;557;BUCAREIN;89212060;JOINVILLE;SC;NULL;70000;1 (11) 500 555-0162;candace15@adventure-works.com
831.372.902-43;Jessie;Liu;M;1984-06-21 00:00:00.000;S;R. CONS. PEDREIRA;1098;PIRABEIRABA;89227365;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0163;jessie9@adventure-works.com
255.488.473-14;Bianca;Lin;F;1984-06-17 00:00:00.000;S;ARNO KRELLING;153;PIRABEIRABA;89227260;JOINVILLE;SC;BRASIL;90000;1 (11) 500 555-0121;bianca7@adventure-works.com
127.611.601-28;Kari;Alvarez;F;1980-12-02 00:00:00.000;S;R. GUILHERME;1191;COSTA E SILVA;89212100;JOINVILLE;SC;NULL;70000;1 (11) 500 555-0169;kari25@adventure-works.com
697.693.770-63;Ruben;Kapoor;M;1982-12-07 00:00:00.000;S;LAGES;265;CENTRO;89225035;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0132;ruben1@adventure-works.com
714.992.650-99;Curtis;Yang;M;1982-05-19 00:00:00.000;S;R. DAS CANOAS;269;BOA VISTA;89222060;JOINVILLE;SC;NULL;60000;1 (11) 500 555-0127;curtis5@adventure-works.com
857.032.787-90;Meredith;Gutierrez;F;1982-07-16 00:00:00.000;S;RUA TENENTE ANTÔNIO JOÃO;1,55;BOM RETIRO;89222520;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0179;meredith34@adventure-works.com
343.205.814-08;Crystal;Wang;F;1981-08-05 00:00:00.000;S;R. SAO PAULO;2107;FLORESTA;89216040;JOINVILLE;SC;NULL;60000;1 (11) 500 555-0134;crystal3@adventure-works.com
043.950.265-62;Micheal;Blanco;M;1981-05-13 00:00:00.000;S;BAHIA;99;ANITA GARIBALDI;89216200;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0131;micheal11@adventure-works.com
026.164.622-82;Leslie;Moreno;F;1982-03-17 00:00:00.000;S;INACIO BASTOS;417;BUCAREIN;88504050;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0115;leslie7@adventure-works.com
129.726.002-18;Alvin;Cai;M;1982-12-14 00:00:00.000;S;EUZEBIO DE QUEIROZ;388;ATIRADORES;89560000;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0191;alvin20@adventure-works.com
788.126.695-61;Clinton;Carlson;M;1982-10-24 00:00:00.000;S;PIRATUBA;1545;BOM RETIRO;89227497;JOINVILLE;SC;NULL;70000;1 (11) 500 555-0184;clinton14@adventure-works.com
021.533.593-50;April;Deng;F;1982-06-29 00:00:00.000;S;CRUZEIRO DO SUL;56;FLORESTA;89211320;JOINVILLE;SC;NULL;70000;1 (11) 500 555-0182;april1@adventure-works.com
534.536.134-22;Alvin;Zeng;M;1983-05-19 00:00:00.000;S;JACIRA;96;FLORESTA;89204020;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0174;alvin21@adventure-works.com
193.909.333-37;Evan;James;M;1984-02-26 00:00:00.000;S;AV. SANTOS DUMONT;1037;BOM RETIRO;89225326;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0187;evan8@adventure-works.com
508.426.644-01;Beth;Jiménez;F;1981-03-03 00:00:00.000;S;MINAS GERAIS;6393;MORRO DO MEIO;89222475;JOINVILLE;SC;BRASIL;40000;1 (11) 500 555-0164;beth8@adventure-works.com
003.743.185-16;Orlando;Suarez;M;1983-07-06 00:00:00.000;S;MISAEL GERALDINO DE ALMEIDA;33;AVENTUREIRO;89210540;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0198;orlando19@adventure-works.com
933.845.795-79;Byron;Vazquez;M;1980-07-22 00:00:00.000;S;ALBANO SCHMIDT;1499;BOA VISTA;89222-400;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0136;byron9@adventure-works.com
983.320.021-68;Philip;Alvarez;M;1983-03-18 00:00:00.000;S;R. PRES. WASHINGTON LUIZ;257;BOM RETIRO;89223120;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0191;philip4@adventure-works.com
549.417.365-52;Ross;Jordan;M;1981-05-28 00:00:00.000;S;CEL. FRANCISCO GOMES;427;BUCAREIN;89201-500;JOINVILLE;SC;NULL;80000;1 (11) 500 555-0126;ross1@adventure-works.com
153.973.388-30;Dana;Navarro;F;1983-10-17 00:00:00.000;S;IRANI;554;FLORESTA;89208-630;JOINVILLE;SC;NULL;70000;1 (11) 500 555-0172;dana2@adventure-works.com
687.403.432-05;Shaun;Carson;M;1980-03-31 00:00:00.000;S;LAGES;34;CENTRO;89217210;JOINVILLE;SC;NULL;10000;1 (11) 500 555-0155;shaun16@adventure-works.com
747.154.911-65;Jan;Edwards;F;1983-01-28 00:00:00.000;S;DIRINGSHOFFAN;338;ANITA GARIBALDE;89223-130;JOINVILLE;SC;BRASIL;40000;111-555-0118;jan11@adventure-works.com
